"Timestamp","Name (Optional)","Gender","Age","Q1. Which of the platforms below do you use in listening music?","Q2. Which of the following genre below you love to listen most?","Q3. Which of the following genres do you dislike?","Q4. Which do you prefer the most?","Q5. Does listening to your preferred music genre help you concentrate when studying as a student?","Q6. We feel emotionally, physically, and cognitively tired during this pandemic, and we are sometimes unable to functions in the context of many elements of life. Do you believe that listening to different types of music genres helps us to cope with our emotions?","Q7.  Does music can have a positive influence?","Q8.  Does music can have a negative influence?"
"2021/09/07 10:10:14 pm GMT+8","KRAZZY","Male","20 and below","None of the above","K-pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/07 10:15:22 pm GMT+8","","Female","21 and above","Spotify","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","No","Yes","5","2"
"2021/09/07 10:20:38 pm GMT+8","","Male","21 and above","Youtube Music","K-pop","Metal","New Music (2000 to 2021)","Yes","Yes","4","4"
"2021/09/07 10:23:41 pm GMT+8","Ji","Female","20 and below","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/07 10:25:07 pm GMT+8","gio","Prefer not to say","20 and below","Spotify","Rhythm & blues (R&B)","Country","Old Music (70's, 80's, 90's)","Yes","Maybe","3","3"
"2021/09/08 10:50:40 am GMT+8","ILLUSTRISIMO","Male","20 and below","Youtube Music","Rock","Jazz","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 11:08:55 am GMT+8","Patricia Diso","Female","20 and below","Youtube Music","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","Yes","Yes","4","4"
"2021/09/08 11:13:57 am GMT+8","Francisco Calderon ","Male","20 and below","Youtube Music","Oldies","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","1"
"2021/09/08 11:14:44 am GMT+8","Christian","Male","20 and below","Spotify","Classical","K-pop","New Music (2000 to 2021)","Yes","Maybe","5","2"
"2021/09/08 11:24:15 am GMT+8","Reign Kervie","Male","21 and above","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 11:44:19 am GMT+8","Zilver","Male","20 and below","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","5"
"2021/09/08 11:46:23 am GMT+8","","Female","20 and below","Spotify","Oldies","Indie rock","Old Music (70's, 80's, 90's)","No","Yes","5","3"
"2021/09/08 11:51:55 am GMT+8","Gandara","Female","20 and below","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","5","2"
"2021/09/08 11:54:31 am GMT+8","","Female","20 and below","Spotify","Pop","Indie rock","New Music (2000 to 2021)","Yes","Yes","4","1"
"2021/09/08 12:12:07 pm GMT+8","John Meg Parada","Male","21 and above","Spotify","Indie rock","Jazz","New Music (2000 to 2021)","Yes","Yes","4","1"
"2021/09/08 12:20:23 pm GMT+8","JM Parada","Male","20 and below","Youtube Music","Hip-hop","Jazz","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 12:20:54 pm GMT+8","Encabo ","Male","20 and below","Spotify","Rock","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/08 12:28:49 pm GMT+8","Bhap","Prefer not to say","21 and above","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
"2021/09/08 12:33:01 pm GMT+8","Jane","Female","21 and above","Spotify","Rhythm & blues (R&B)","Classical","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/08 12:51:23 pm GMT+8","Sy","Male","20 and below","Youtube Music","Hip-hop","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","4","1"
"2021/09/08 1:05:39 pm GMT+8","","Male","20 and below","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/08 1:24:53 pm GMT+8","","Male","20 and below","Youtube Music","Pop","K-pop","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/08 5:46:14 pm GMT+8","Mary Ann","Female","20 and below","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/08 6:35:21 pm GMT+8","","Female","21 and above","Spotify","Pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/08 9:10:02 pm GMT+8","","Male","21 and above","Spotify","Rock","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
"2021/09/08 9:12:03 pm GMT+8","Bien","Male","21 and above","Spotify","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","4","3"
"2021/09/08 9:15:13 pm GMT+8","Kyla","Female","20 and below","Youtube Music","Pop","Classical","Old Music (70's, 80's, 90's)","Yes","Yes","5","5"
"2021/09/08 9:17:37 pm GMT+8","","Female","21 and above","Spotify","K-pop","Oldies","New Music (2000 to 2021)","Yes","Yes","4","2"
"2021/09/08 9:19:28 pm GMT+8","","Female","20 and below","Spotify","Pop","Indie rock","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/08 9:20:32 pm GMT+8","","Female","20 and below","Spotify","K-pop","Country","Old Music (70's, 80's, 90's)","No","Yes","4","4"
"2021/09/08 9:22:20 pm GMT+8","","Male","21 and above","None of the above","Country","Indie rock","Old Music (70's, 80's, 90's)","No","Yes","5","3"
"2021/09/08 9:24:48 pm GMT+8","","Female","20 and below","Youtube Music","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/08 9:43:31 pm GMT+8","","Female","20 and below","Youtube Music","Pop","Rock","New Music (2000 to 2021)","No","Yes","5","3"
"2021/09/08 9:44:09 pm GMT+8","isa","Female","20 and below","Spotify","Indie rock","Classical","New Music (2000 to 2021)","No","Yes","4","2"
"2021/09/08 9:50:48 pm GMT+8","","Female","21 and above","Spotify","Rock","Classical","Old Music (70's, 80's, 90's)","Yes","Yes","5","3"
"2021/09/09 9:06:03 am GMT+8","","Male","20 and below","Spotify","Rap","Rhythm & blues (R&B)","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/09 9:08:35 am GMT+8","","Female","20 and below","Spotify","Pop","Indie rock","Old Music (70's, 80's, 90's)","Yes","Yes","5","2"
"2021/09/09 9:10:50 am GMT+8","","Male","20 and below","Youtube Music","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","4"
"2021/09/09 10:56:05 am GMT+8","","Male","20 and below","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Maybe","4","4"
"2021/09/09 11:32:47 am GMT+8","clydung","Male","20 and below","Youtube Music","K-pop","Indie rock","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 1:25:25 pm GMT+8","","Male","20 and below","Spotify","Hip-hop","K-pop","Old Music (70's, 80's, 90's)","Yes","Yes","4","4"
"2021/09/09 1:58:33 pm GMT+8","","Female","20 and below","Youtube Music","Pop","Metal","Old Music (70's, 80's, 90's)","No","Yes","5","2"
"2021/09/09 2:24:52 pm GMT+8","","Male","20 and below","Spotify","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/09 2:26:55 pm GMT+8","","Female","21 and above","Youtube Music","Pop","Indie rock","Old Music (70's, 80's, 90's)","No","Yes","5","3"
"2021/09/09 2:28:41 pm GMT+8","April","Female","21 and above","Youtube Music","Pop","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","5","1"
"2021/09/09 2:29:41 pm GMT+8","Mabelle","Female","20 and below","Youtube Music","Pop","Country","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/09 2:35:25 pm GMT+8","","Female","20 and below","Spotify","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","5","2"
"2021/09/09 2:38:11 pm GMT+8","","Female","21 and above","Youtube Music","K-pop","Rock","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/09 2:40:46 pm GMT+8","Xyril","Female","20 and below","Spotify","Rhythm & blues (R&B)","Classical","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/09 2:43:45 pm GMT+8","Dan","Female","20 and below","Youtube Music","Classical","Metal","Old Music (70's, 80's, 90's)","No","Yes","5","1"
"2021/09/09 2:49:56 pm GMT+8","Jackelyn ignacio","Female","20 and below","None of the above","Rap","Classical","Old Music (70's, 80's, 90's)","Yes","Yes","5","2"
"2021/09/09 2:56:25 pm GMT+8","","Male","20 and below","Youtube Music","K-pop","Oldies","New Music (2000 to 2021)","Yes","Yes","4","2"
"2021/09/09 3:23:32 pm GMT+8","","Female","20 and below","Spotify","Rhythm & blues (R&B)","Rock","New Music (2000 to 2021)","Yes","Yes","5","3"
"2021/09/09 3:24:13 pm GMT+8","","Female","20 and below","Spotify","Rhythm & blues (R&B)","Rock","New Music (2000 to 2021)","Yes","Yes","3","3"
"2021/09/09 3:33:24 pm GMT+8","","Female","20 and below","Youtube Music","Classical","Indie rock","New Music (2000 to 2021)","Yes","Yes","4","2"
"2021/09/09 3:35:40 pm GMT+8","","Female","20 and below","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 3:36:01 pm GMT+8","Jam","Female","20 and below","Youtube Music","Classical","K-pop","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/09 3:36:55 pm GMT+8","Nics","Female","20 and below","Youtube Music","Pop","Indie rock","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 3:38:38 pm GMT+8","Carlo","Male","21 and above","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 3:46:13 pm GMT+8","","Female","21 and above","Youtube Music","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Maybe","3","3"
"2021/09/09 3:46:21 pm GMT+8","Myrelle Tuyor","Female","20 and below","Spotify","K-pop","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","1","5"
"2021/09/09 3:49:08 pm GMT+8","","Female","20 and below","Youtube Music","Pop","Pop","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 3:51:39 pm GMT+8","","Female","20 and below","Youtube Music","Classical","Rap","Old Music (70's, 80's, 90's)","Yes","Yes","5","5"
"2021/09/09 4:23:45 pm GMT+8","Genevieve","Female","20 and below","Spotify","Pop","Rhythm & blues (R&B)","New Music (2000 to 2021)","Yes","Maybe","4","2"
"2021/09/09 4:27:04 pm GMT+8","","Female","20 and below","Spotify","K-pop","Indie rock","New Music (2000 to 2021)","Yes","Yes","5","5"
"2021/09/09 4:31:32 pm GMT+8","Ian Ramos","Male","21 and above","Spotify","Pop","Rock","New Music (2000 to 2021)","Yes","Yes","3","3"
"2021/09/09 5:42:18 pm GMT+8","","Female","21 and above","Spotify","K-pop","Metal","Old Music (70's, 80's, 90's)","No","Yes","5","1"
"2021/09/09 6:34:18 pm GMT+8","","Female","20 and below","None of the above","Rhythm & blues (R&B)","Indie rock","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 6:35:30 pm GMT+8","","Female","20 and below","None of the above","Rhythm & blues (R&B)","Indie rock","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/09 6:48:07 pm GMT+8","","Female","20 and below","Youtube Music","Classical","Metal","Old Music (70's, 80's, 90's)","Yes","Maybe","5","5"
"2021/09/09 7:35:05 pm GMT+8","Jeremy","Male","21 and above","Spotify","Rhythm & blues (R&B)","Metal","Old Music (70's, 80's, 90's)","Yes","Yes","5","1"
"2021/09/09 9:39:30 pm GMT+8","","Male","21 and above","Youtube Music","Country","Metal","New Music (2000 to 2021)","No","Yes","4","2"
"2021/09/11 2:51:52 pm GMT+8","","Male","21 and above","Spotify","Pop","K-pop","Old Music (70's, 80's, 90's)","No","Maybe","5","2"
"2021/09/11 2:53:10 pm GMT+8","Joahnne","Female","21 and above","Youtube Music","Pop","Metal","New Music (2000 to 2021)","No","Yes","5","1"
"2021/09/11 2:54:26 pm GMT+8","Reymark","Male","20 and below","None of the above","Rhythm & blues (R&B)","K-pop","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/11 2:55:08 pm GMT+8","Debbie","Female","21 and above","Apple Music","K-pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/11 2:56:23 pm GMT+8","Alex","Male","21 and above","Spotify","Pop","K-pop","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/11 2:57:02 pm GMT+8","","Male","21 and above","Apple Music","Rhythm & blues (R&B)","K-pop","Old Music (70's, 80's, 90's)","Yes","Maybe","5","2"
"2021/09/11 2:57:53 pm GMT+8","","Female","21 and above","Spotify","Oldies","Metal","Old Music (70's, 80's, 90's)","No","Maybe","4","2"
"2021/09/11 6:58:55 pm GMT+8","Nadine","Female","21 and above","Youtube Music","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","No","Yes","5","1"
"2021/09/11 6:59:46 pm GMT+8","","Male","20 and below","Spotify","Rhythm & blues (R&B)","K-pop","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/11 7:01:00 pm GMT+8","John","Male","21 and above","Spotify","Pop","K-pop","Old Music (70's, 80's, 90's)","Yes","Maybe","4","1"
"2021/09/13 12:13:24 am GMT+8","","Prefer not to say","21 and above","Spotify","Oldies","Metal","Old Music (70's, 80's, 90's)","No","Yes","5","1"
"2021/09/13 12:13:58 am GMT+8","","Male","21 and above","Youtube Music","Rhythm & blues (R&B)","K-pop","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/13 12:14:42 am GMT+8","","Male","21 and above","Spotify","K-pop","Oldies","New Music (2000 to 2021)","Yes","Yes","5","2"
"2021/09/13 12:15:20 am GMT+8","Marc","Male","20 and below","Youtube Music","Rhythm & blues (R&B)","Classical","New Music (2000 to 2021)","No","Yes","5","2"
"2021/09/13 12:15:45 am GMT+8","Jessy","Female","20 and below","Youtube Music","Pop","Metal","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/13 12:17:05 am GMT+8","Jeric","Male","20 and below","None of the above","Hip-hop","K-pop","New Music (2000 to 2021)","No","Yes","5","2"
"2021/09/13 12:17:31 am GMT+8","","Female","20 and below","Youtube Music","K-pop","Classical","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/13 12:20:34 am GMT+8","","Male","21 and above","Apple Music","Pop","Metal","New Music (2000 to 2021)","No","Yes","5","1"
"2021/09/14 9:42:52 am GMT+8","Marc","Male","21 and above","Spotify","Pop","Classical","New Music (2000 to 2021)","No","Yes","5","1"
"2021/09/14 10:51:59 am GMT+8","","Male","21 and above","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/14 4:30:54 pm GMT+8","","Female","20 and below","Spotify","K-pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/14 6:19:26 pm GMT+8","","Male","20 and below","Apple Music","Pop","Metal","New Music (2000 to 2021)","Yes","Yes","5","1"
"2021/09/14 8:32:32 pm GMT+8","","Prefer not to say","20 and below","Youtube Music","Rhythm & blues (R&B)","K-pop","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/14 9:07:21 pm GMT+8","Elladine Sarsona","Female","20 and below","Spotify","Oldies","Metal","Old Music (70's, 80's, 90's)","No","Yes","5","3"
"2021/09/14 10:22:09 pm GMT+8","Rose","Female","21 and above","Spotify","Pop","Metal","New Music (2000 to 2021)","Yes","Maybe","5","1"
"2021/09/14 10:43:47 pm GMT+8","","Male","21 and above","Youtube Music","Oldies","K-pop","Old Music (70's, 80's, 90's)","Yes","Maybe","5","1"
"2021/09/15 9:56:01 am GMT+8","","Male","21 and above","Spotify","Oldies","K-pop","Old Music (70's, 80's, 90's)","No","Yes","5","1"
"2021/09/15 10:21:52 am GMT+8","","Male","20 and below","Spotify","Rhythm & blues (R&B)","Metal","New Music (2000 to 2021)","Yes","Yes","5","2"